INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-01-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-38,'Taxi to client meeting',1),
('2025-01-01','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-420,'Catering settlement from previous year-end event',1),
('2025-01-01','CompanyBudget/StaffWelfare/MealSupport/Lunch',-85,'Team lunch support',1),
('2025-01-02','CompanyBudget/Operations/Utilities/Internet',-120,'Monthly internet bill',1),
('2025-01-02','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-900,'Digital marketing spend for product launch',1),
('2025-01-02','CompanyBudget/Operations/OfficeSupplies/Stationery',-45,'Purchased pens and notebooks',1),
('2025-01-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1500,'Flight ticket for overseas conference',1),
('2025-01-03','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-160,'Visa application fee',1),
('2025-01-03','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-520,'Workshop venue booking',1),
('2025-01-04','CompanyBudget/Operations/OfficeSupplies/Printing',-60,'Printed project documents',1),
('2025-01-04','CompanyBudget/StaffWelfare/MealSupport/Dinner',-110,'Dinner reimbursement after late meeting',1),
('2025-01-05','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-300,'Initial summer festival planning cost',1),
('2025-01-05','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity bill',1),
('2025-01-06','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-480,'Hotel stay during domestic trip',1),
('2025-01-06','CompanyBudget/Operations/OfficeSupplies/Stationery',-25,'Markers and sticky notes',1),
('2025-01-07','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-340,'Outdoor activity booking',1),
('2025-01-07','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-200,'Community event donation',1),
('2025-01-08','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Local bus fare',1),
('2025-01-08','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth equipment rental',1),
('2025-01-09','CompanyBudget/Operations/OfficeSupplies/Printing',-33,'Printed brochures',1),
('2025-01-10','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1550,'Flight for sales representative',1),
('2025-01-10','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-01-10','CompanyBudget/StaffWelfare/MealSupport/Lunch',-95,'Lunch meeting with partner company',1),
('2025-01-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-22,'Taxi to office',1),
('2025-01-11','CompanyBudget/Operations/OfficeSupplies/Stationery',-18,'Folders and clips',1),
('2025-01-12','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-800,'Venue deposit',1),
('2025-01-12','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-700,'SNS ads',1),
('2025-01-13','CompanyBudget/StaffWelfare/MealSupport/Lunch',-72,'Lunch with internal team',1),
('2025-01-13','CompanyBudget/Operations/Utilities/Electricity',-255,'Power usage fee',1),
('2025-01-14','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Guesthouse',-110,'Guesthouse for employee trip',1),
('2025-01-14','CompanyBudget/Operations/OfficeSupplies/Printing',-41,'Flyer printing',1),
('2025-01-15','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-230,'Workshop materials',1),
('2025-01-15','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-300,'Community outreach donation',1),
('2025-01-16','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-165,'Visa renewal fee',1),
('2025-01-16','CompanyBudget/Operations/Utilities/Internet',-120,'Monthly internet bill',1),
('2025-01-17','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-19,'Taxi to supplier visit',1),
('2025-01-17','CompanyBudget/Operations/OfficeSupplies/Stationery',-39,'Whiteboard markers',1),
('2025-01-18','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-560,'Booth setup labor cost',1),
('2025-01-18','CompanyBudget/StaffWelfare/MealSupport/Dinner',-124,'Dinner after event prep',1),
('2025-01-19','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-420,'Team building hiking event',1),
